model, rating, performance
POCO M3 (Cool Blue  64 GB),1 50 191 Ratings & 11 226 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
REDMI 9i (Midnight Black  64 GB),3 01 380 Ratings & 17 070 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
Infinix Hot 10 Play (7° Purple  64 GB),15 955 Ratings & 1 168 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
Infinix Hot 10 Play (Morandi Green  64 GB),15 955 Ratings & 1 168 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
Infinix Hot 10 Play (Aegean Blue  64 GB),15 955 Ratings & 1 168 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
REDMI Note 9 (Pebble Grey  64 GB),39 568 Ratings & 2 869 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
realme C20 (Cool Grey  32 GB),29 216 Ratings & 1 367 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
realme C20 (Cool Blue  32 GB),29 216 Ratings & 1 367 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
REDMI 9i (Sea Blue  64 GB),3 01 380 Ratings & 17 070 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
realme Narzo 30A (Laser Blue  32 GB),38 032 Ratings & 2 588 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
realme Narzo 30A (Laser Black  64 GB),58 622 Ratings & 3 666 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
realme Narzo 30A (Laser Blue  64 GB),58 622 Ratings & 3 666 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
realme Narzo 30A (Laser Black  32 GB),38 032 Ratings & 2 588 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
REDMI 9i (Nature Green  64 GB),3 01 380 Ratings & 17 070 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
Infinix Hot 10 Play (Obsidian Black  64 GB),15 955 Ratings & 1 168 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
realme C21 (Cross Blue  64 GB),14 284 Ratings & 633 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
realme C21 (Cross Black  64 GB),14 284 Ratings & 633 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
realme C21 (Cross Blue  32 GB),17 587 Ratings & 764 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
realme C21 (Cross Black  32 GB),17 587 Ratings & 764 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
realme Narzo 20 (Glory Silver  64 GB),4 33 786 Ratings & 33 631 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
GIONEE Max (Royal Blue  32 GB),74 089 Ratings & 7 108 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
GIONEE Max (Red  32 GB),74 089 Ratings & 7 108 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
realme C25 (Watery Blue  64 GB),16 482 Ratings & 688 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
POCO M2 Reloaded (Mostly Blue  64 GB),4 135 Ratings & 283 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
